Date,DJI,NASDAQ,VIX
01-OCT-21,34326.4609375,14566.7001953125,21.100000381469727
04-OCT-21,34002.921875,14255.48046875,22.959999084472656
05-OCT-21,34314.671875,14433.830078125,21.299999237060547
06-OCT-21,34416.98828125,14501.91015625,21.0
07-OCT-21,34754.94140625,14654.01953125,19.540000915527344
08-OCT-21,34746.25,14579.5400390625,18.770000457763672
11-OCT-21,34496.05859375,14486.2001953125,20.0
12-OCT-21,34378.33984375,14465.919921875,19.850000381469727
13-OCT-21,34377.80859375,14571.6396484375,18.639999389648438
14-OCT-21,34912.55859375,14823.4296875,16.860000610351562
15-OCT-21,35294.76171875,14897.33984375,16.299999237060547
18-OCT-21,35258.609375,15021.8095703125,16.309999465942383
19-OCT-21,35457.30859375,15129.08984375,15.699999809265137
20-OCT-21,35609.33984375,15121.6796875,15.489999771118164
21-OCT-21,35603.078125,15215.7001953125,15.010000228881836
22-OCT-21,35677.01953125,15090.2001953125,15.430000305175781
25-OCT-21,35741.1484375,15226.7099609375,15.239999771118164
26-OCT-21,35756.87890625,15235.7099609375,15.979999542236328
27-OCT-21,35490.69140625,15235.83984375,16.979999542236328
28-OCT-21,35730.48046875,15448.1201171875,16.530000686645508
29-OCT-21,35819.55859375,15498.3896484375,16.260000228881836
01-NOV-21,35913.83984375,15595.919921875,16.40999984741211
02-NOV-21,36052.62890625,15649.599609375,16.030000686645508
03-NOV-21,36157.578125,15811.580078125,15.100000381469727
04-NOV-21,36124.23046875,15940.3095703125,15.4399995803833
05-NOV-21,36327.94921875,15971.58984375,16.479999542236328
08-NOV-21,36432.21875,15982.3603515625,17.219999313354492
09-NOV-21,36319.98046875,15886.5400390625,17.780000686645508
10-NOV-21,36079.94140625,15622.7099609375,18.729999542236328
11-NOV-21,35921.23046875,15704.2802734375,17.65999984741211
12-NOV-21,36100.30859375,15860.9599609375,16.290000915527344
15-NOV-21,36087.44921875,15853.849609375,16.489999771118164
16-NOV-21,36142.21875,15973.8603515625,16.3700008392334
17-NOV-21,35931.05078125,15921.5703125,17.110000610351562
18-NOV-21,35870.94921875,15993.7099609375,17.59000015258789
19-NOV-21,35601.98046875,16057.4404296875,17.90999984741211
22-NOV-21,35619.25,15854.759765625,19.170000076293945
23-NOV-21,35813.80078125,15775.1396484375,19.3799991607666
24-NOV-21,35804.37890625,15845.23046875,18.579999923706055
26-NOV-21,34899.33984375,15491.66015625,28.6200008392334
29-NOV-21,35135.94140625,15782.830078125,22.959999084472656
30-NOV-21,34483.71875,15537.6904296875,27.190000534057617
01-DEC-21,34022.0390625,15254.0498046875,31.1200008392334
02-DEC-21,34639.7890625,15381.3203125,27.950000762939453
03-DEC-21,34580.078125,15085.4697265625,30.670000076293945
06-DEC-21,35227.03125,15225.150390625,27.18000030517578
07-DEC-21,35719.4296875,15686.919921875,21.889999389648438
